speaker,words,tags,timestamp
Phil Hufford,"There are ways to determine the source of plutonium, whether it comes from the plant or whether it is indeed a product of atmospheric testing. Can you tell us a little bit about how those distinctions can be made?",rocky flats,0:00:00
Paula Elofson-Gardine,"A little bit, yes. This is something that we have found to be true across the board with the production facilities that they all have a unique role to play with different isotopes, and these are like markers of where this has come from what it, what it's doing out there. The Rocky Flats plant receives waste from all over the country for reprocessing, recycling, and that was their argument with the large tritium scare in Broomfield years ago, that they had some tritium contaminated scrap or something, and that that's where it came from, and that the isotope matched that of Savannah, or wherever it was from at the time, that that was the origin of that. Well, it still doesn't excuse what they're doing out there. The fact is, it's coming from the plant. We don't have much in terms of above ground testing at this point in time, and I just think that's pretty thin argument to keep saying that it's all background.",rocky flats,0:00:24
Phil Hufford,"Explain a little about that tritium release for our listeners. ",rocky flats,0:01:28
Paula Elofson-Gardine,"The city of Broomfield realized there was very large tritium problem in their reservoir that they were trying to identify where is this coming from, because the monthly monitoring reports from Rockwell said no, it's not coming from us. Well, who the heck else is it going to come from? They sampled closer and closer and closer up the creek until they got right to the release ducts, Rocky Flats, and of course there was some there, and only when they tested above the plant and below the plant from these water sources did they finally admit that, well, yeah, maybe it did come from us, which is a similar problem we have with reports and other items, where it's been their own reports, and we've said, what about this information? What do you have to say about it? Is this your signature on this report? And they look at, and they go, ""Well, maybe. Well, gee, I just don't know where you're getting your information. I don't understand what your question is. And so let's go on to the next question.""",rocky flats,0:01:38
Phil Hufford,"What happened to the residents of Broomfield when the tritium was released into the Great Western Reservoir?",rocky flats,0:02:38
Paula Elofson-Gardine,"Nothing, they took more samples, uh urine samples from the residents. Dr. Carl Johnson did do a report on this of the contamination of the municipal water supplies, and they found that the residents did have very elevated tritium in their urine.",rocky flats,0:02:46
Phil Hufford,But there was no alternative water supply made available to the city of Broomfield?,rocky flats,0:03:05
Paula Elofson-Gardine,"Yes, on a pretty routine basis, Broomfield commingles their water with Denver, and so this does help the situation somewhat.",rocky flats,0:03:11
Phil Hufford,"As I recall, that tritium release took place in 1973, so was the mixing of water taking place in 1973 so that it was diluted?",rocky flats,0:03:21
Paula Elofson-Gardine,That's something I'm not sure of. I'd have to go back and look at the reports.,rocky flats,0:03:34
Phil Hufford,Are there monitors on the plant site itself? Is the Department of Energy monitoring releases at Rocky Flats nuclear weapons plant?,rocky flats,0:03:42
Paula Elofson-Gardine,"Well, for what it's worth, yes, they do. My firm belief, and that of many others, is that it is an absolutely worthless monitoring program. What they pick up much of the time is resuspension. The emissions we firmly believe do not reach those monitors, so what you see is probably what their monthly resuspension looks like, if that was the dispersed form of plutonium that passes through the filters anyway, so I don't see that the monitoring program does any good.",rocky flats,0:03:56
Phil Hufford,Is the state of Colorado monitoring emissions out there in an effective way?,rocky flats,0:04:29
Paula Elofson-Gardine,"No, I don't believe they are.",rocky flats,0:04:36
Phil Hufford,Have there been soil samples taken in Greeley or Fort Collins or some of these areas that might be liable to these high level winds carrying these micro plutonium particles?,rocky flats,0:04:40
Paula Elofson-Gardine,"Yes, I understand that they have had a sampling program around the state. Their soil specialist travels all over the state different times, and I understand that part of that program is to try to establish quote background unquote. My feeling is that they are interested in knowing exactly where it's going to, but I don't know if we'll ever really see the truth of that. Brings to mind a study that they did, called Plutonium Burdens, and people living around Rocky Flats. They autopsied 519 people, some of them as far away as Lamar, Colorado, some in Sterling, and less than 10 people in that entire autopsy study came from within 10 kilometers of the plant, and to me they did find weapons-grade plutonium in people as far away as Lamar. Okay, but to me, what is significant about that study is that they almost completely bypassed the surrounding communities for that autopsy study, and I question the credibility of a study like that, where they fail to really look at the surrounding communities, and this ties into the unfortunate problems in the official foot dragging, and seeing that the appropriate epidemiology studies be done on surrounding communities.",rocky flats,0:05:00
Phil Hufford,"Now, I have seen maps that outline the extent of plutonium contamination based on some work done by a person named Cray and another person named Hardy. There's the Hardy Cray contours. These are map contours called isoplus, and they, they seem to indicate that the extent of the contamination really is towards the Denver area and not towards Boulder, and not to the west, or not far west of the plant, could you comment on the the accuracy or your sense of how valid those plutonium contamination contours are?",rocky flats,0:06:20
Paula Elofson-Gardine,"Well, I, I feel that there is some controversy about that. The Crane Hardy report does indicate the wind roses, that is maps of the wind patterns during the two major incidents, 57 and 69 One of them went almost directly south to Leyden, and the other areas directly around Arvada. One of the other fires went primarily southeast in a direct line to Arvada, and then to Westminster as well. So the Crane Hardy map very curiously doesn't seem to cover those particular areas. So I wonder, where they're sampling, why didn't they sample in those areas that the wind roses seem to be pointing to for those serious incidents.",rocky flats,0:07:16
Phil Hufford,"How about Boulder or place, you know, Coal Creek Canyon? Do you think there's any contamination from the plant going northward?",rocky flats,0:08:04
Paula Elofson-Gardine,"I'd like to refer that to Susan Hurst, the executive director for Networking Colorado.",rocky flats,0:08:20
Phil Hufford,"Tell us a little bit more about this land dispute, the Church McKay land, and what the issue was there, and where that land is, maybe how it relates to the Jefferson Center proposal, and the nature of the contamination that exists there.",rocky flats,0:08:27
Paula Elofson-Gardine,"That's a very interesting question. The farmers in the area wasn't just Church McKay, there were others involved with this suit. They were suing, I believe, more on the concept of loss of property value because the contamination, which is an interesting point, because right now the rest of the communities are looking at this as a very serious issue, that a lot of people have the houses up for sale in countryside, Broomfield, Westminster, and they can't sell them, so I believe that this is an excellent basis for a current federal lawsuit. The farmers did receive a very lucrative out-of-court settlement, and here they are trying to make money on it again. I think it's just absolutely incredible that they want to have a giant development there, where the worst contamination spots were south, southeast, and east of the plant. They want to put W470 through that and have that vehicular traffic add to the resuspension problems. By developing, they will kick up more of the contamination. They have right across that south border, where they have a lot of those landowners that already receive settlement participating and wanting to sell this to the City of Arvada, or to whatever company wants to help with the development. I cannot imagine someone in their right mind wanting to be part of that development, or to have an office out there where their air conditioning system would be taking in available radionuclides and poisoning their employees as they work. I think that it's criminally negligent that they would do this. The emergency preparedness director, Jeff Everett, has told us when we had lunch with him during the WIPP hearings, the waste isolation pilot plant, that the emergency preparedness people are not ready for a drastic emergency out there, such as the 57 fire, when people should have been evacuated and were not. That should we have nifty little 7/11 stores out there? I'd hope that they'd make them like bomb shelters, because the emergency preparedness team would not go within the four mile radius, so I'd like to know how long they would expect people to remain in those 7/11 stores eating nachos and hot dogs, because they certainly would not be allowed to go out, and they would not be evacuated by anyone else. And according to Jeff Everett, people would be told when it was okay to go out after the plume had passed, and they had sampled to see if it was okay to go out yet.",rocky flats,0:08:49
Phil Hufford,"Can you speak to this question of criticalities at the plant? I know this topic was brought up to the governor. Can you explain what a criticality is, and whether any have happened out there, and what the implications of that are?",rocky flats,0:11:27
Paula Elofson-Gardine,"There's a lot of controversy about this particular issue as well. We understand from the environmental impact statement that solution criticality is a large problem out there, and that the janitors have holes in their buckets, so they don't have too much water to get in with their plutonium particles, they may pick up on their mops. That what happens when plutonium comes into contact with air is spontaneous combustion. Okay, if plutonium comes into contact with water, you have fission. Now there was like 40,000 gallons plus of water that they tried to put out a plutonium fire with in 1957. They believe that this is where a lot of the cesium came from out there, and strontium there is cesium and strontium out there in the soils around the plant, around the 903 pad area. It's in that report that they have found it out there. It's not from background, it's not from anywhere else. It is from Rocky Flats.",rocky flats,0:11:45
Phil Hufford,What report?,rocky flats,0:12:45
Paula Elofson-Gardine,"There's a remedial investigation report on the 903 Padmound and East Trenches areas that Rockwell provided to the EPA, so they can't say that they're unaware of it or that it's a load of malarkey. It's there, Dr. Johnson found detectable limits of this way back when he did his first soil study. So, this is why it alarmed him, so that he tried to make the public aware of it.",rocky flats,0:12:47
Phil Hufford,Explain what a criticality is.,,0:13:13
Paula Elofson-Gardine,A criticality is like a burst of neutrons.,,0:13:15
Phil Hufford,"Is it a chain reaction, or what is it?",,0:13:22
Paula Elofson-Gardine,"I would say similar to that. I probably should, probably should have you clip that part and look it up for you real quick. Okay, when a criticality occurs, it can be very, it can be a very small thing, and it can be very big thing. I think what a lot of people think of when they think of criticality is critical mass and chain reaction. That's something that I believe they came very close to 1957 because of the enormity of what was released, and the water involved with it, and the whole thing. Criticality is the state where fission starts, and you have a release of energy, and it tends to be energy that goes through people gets into everything, that's where they say something is radioactively hot.",,0:13:31
Phil Hufford,We're talking about release of neutrons?,,0:14:28
Paula Elofson-Gardine,"Right, release of neutrons. Its that blue flash when they show like dark circle and they show them milling this stuff, you see little blue flashes here and there, those are release of neutrons. Okay, so it's a reaction that occurs very naturally with plutonium that they would like to keep to a minimum, because of the great risk to the workers and to the people around that you have these energy releases going out.",,0:14:31
Phil Hufford,"I know that Dr. Carl Johnson, in describing the fire, quote unquote fire, that happened in 1957 speculated that it was a fission reaction that blew out 600 of these HEPA filters, what do you think?",rocky flats,0:15:01
Paula Elofson-Gardine,"I think that he's absolutely right on the money. I think with the problems that Jim Stone, the engineer that used to be at the plant, has described in terms of plutonium sand dunes and the air ducts and big gaps in the glove boxes, those glove boxes are supposed to be kept in a negative environment, negative atmosphere environment, which means they like pump in nitrogen and things like that, and when it's exposed to oxygen, you have this combustion happening, and if it gets too far out of control, then you have fissioning happening, and this is the critical thing, criticality. And the fact that it got so far out of control that they had this huge blowout, and then continuous problem, they had an area without criticality drains that they were pumping all this water into, trying to put it out. They didn't know what the heck they were doing.",rocky flats,0:15:24
Phil Hufford,"So by pumping the water in there, they were just making the situation worse.",rocky flats,0:16:22
