speaker,words,tags,timestamp
Phil Hufford,"Hello, this is he. Oh, hi Mike. ",,0:00:09
Mike O'Keeffe,How you doing?,,0:00:15
Phil Hufford,I'm doing fine. How are you?,,0:00:16
Mike O'Keeffe,"Good. I'm doing the story on what has been happening with the Rocky Flats movement in the last few months after the FBI raid, and where the movement is going. Where's the next logical steps here? Do you have a few moments to talk with me about that now?",rocky flats,0:00:17
Phil Hufford,Sure.,,0:00:36
Mike O'Keeffe,"Okay, you're with the Denver, Denver Regional Greens?",,0:00:44
Phil Hufford,"It's the Denver Region Greens.",,0:00:48
Mike O'Keeffe,"When did you guys come together?",,0:00:55
Phil Hufford,"Well, I say at this point the group has existed for about five five and a half months, so it's fairly new group.",,0:00:58
Mike O'Keeffe,"I've been talking with Paula Elofson-Gardine and Sue Hurst. 
",,0:01:13
Phil Hufford,Yes.,,0:01:18
Mike O'Keeffe,"I've been also trying to get a hold of Adrienne Anderson. Adrienne, I spoke last week. She told me she's on a real tight deadline this week. I haven't been able to reach her in her office. We've been playing telephone pigs...",,0:01:19
Phil Hufford,"Uh huh, okay.",,0:01:35
Mike O'Keeffe,"Similar to what we've been doing, but what I hear from Paula and Sue is that there was all kinds of disputes, a lot of this has already been reported on, there were disputes about the use of the Rocky Flats encirclement versus the capital, and whether or not being out of Rocky Flats was safe, so but Paula and Sue also said there was some personal problems with Adrienne, who wanted to get involved in the capital event, but wouldn't let them get involved in some of her events, and at one point you were working with them to press release saying you didn't feel that the Capitol, or rather the Rocky Flats rally, would be safe.",rocky flats; encirclement,0:01:35
Phil Hufford,Yes.,,0:02:26
Mike O'Keeffe,"And you're working with Adrienne and with the with Sue and with Paula. Do you know what happened? What came about with that? They seem to have been good friends for a while, and again, I haven't talked with Adrienne, I just know one side of the story, but all of a sudden...",,0:02:28
Phil Hufford,"Yes, well, it was very, yeah, it was fairly peculiar. We were working together. What happened was that the Denver Region Greens decided that it was important to notify the public about the hazards, the dangers to protesters attending the Encirclement at the Rocky Flats plant, and so we put together a news release, which had several different groups on it, and those... Yes, and that was, yeah, that was not the, the original one by any means, and Paula and Sue Hurst were on the original one. There we were working well together on that, in fact, Paula wanted to add material to the original news release, which was a little bit longer than the one you see, and I was trying to convince her that we needed to keep it short, and I had set a tentative day to have a news conference on this, and I had discussed this, actually, the date, there's a couple of different days that got mentioned in there, and I had discussed with Paula and Sue and Dr. Nichols, possibly having the news conference on the 18th of July, and then I began to realize that that was not going to be possible, and I tentatively reschedule. This was very tentative at the time. I then I rescheduled it tentatively for Wednesday the 19th, and it turns out that I wasn't able to get everybody's approval on the news release by that time, but we were all working together on this, is very cooperative, and then something happened on the 18th, which is a Tuesday. Paula and Sue turned up at a news conference that the National Toxics Campaign, Adrienne Anderson and a variety of other groups, Coperg and Clean, what is it, Clean Water, or some other group, and there was somebody else in there, I forget who this was, because I was not at the news conference, but it was on chlorofluorocarbon impacts on the atmosphere, and basically was about the destruction of the ozone layer and impacts on the greenhouse effect. Well, Paula and Sue showed up just minutes before this news conference was to happen. I did happen to videotape the news conference, and I saw Paula standing there, so I mean, I thought she was there, but she also told me about this, and I also was told about it by Adrienne. I was not there myself, so anything regarding what was said there, of course, is some type of hearsay, but I did get a description from both sides, and Sue and Paula felt a couple of things. They first of all, they felt that they were being snubbed by Adrienne because Adrienne had sent this, is what they claimed, and I later, later learned this was not the case, but they claimed that Adrienne had sent an invitation to a little get together with a person from Fernald, Ohio, called Lisa Crawford, who was coming out to speak later that week. She was speaking in Arvada on the 22nd of July, Saturday the 22nd So, on the 21st she was flying into town, and there was going to be a little low party for people to meet her at the office that Adrienne uses and also shares with Colorado Peace Network, and they claim, excuse me, they claim that Adrienne had scribbled a handwritten invitation on the back of a notice of Lisa Crawford's talk to a person in Fort Collins named Joan Seaman, who's with the group Committee against radio toxic pollution, and subsequently I did speak with Joan Seaman about this, and she did get something with a handwritten invitation on it, but it was mailed from Boulder, and she had no idea if it was Adrienne's handwriting, and Adrienne said she never had written this thing. In fact, Adrian didn't have anything to do with organizing this little get-together with Lisa Crawford, and I had heard about it because I'd heard about it beforehand because I had attended a Rocky Flats Alliance meeting a week before, where it was announced and everyone was invited that was in attendance at that meeting to come and meet Lisa Crawford, and this was the same group that Paula and Sue had walked out on in some disgust over some issue or other, and seemed to have stormed out of a meeting there, saying they didn't want to have anything to do with the Rocky Flats Alliance, so they weren't there to get the general invitation. Well, anyway, that was one accusation they made to Adrienne. The other was that she had purposely scheduled her news conference to somehow sabotage this other news conference that had really never been scheduled for Tuesday, you know, I mean, there were only four people that knew that that of that time period, that Tuesday date, and that was Paula, Sue, Harvey Nichols, and myself. And then I changed the date and moved it to Wednesday, and somehow Paula and Sue didn't seem to understand that had been changed, and I spoke with them subsequently, and I said, ""Well, gee, Paula, you know you're really just wrong on this one. Adrienne never even knew that it was scheduled on Tuesday, and here you are accusing her of sabotaging this news conference that she never even knew was scheduled,"" and they, they just kind of tenaciously have stuck with that interpretation. I mean, I've, I've corrected them three or four different times, I've told them they were wrong, because I hear them saying they. Same story to people subsequently, and I'd say ""no, you know, this is not right,"" and yet they'd still stick with that, so I don't really know what happened there, they, they seem to be making some, some allegations about I'm not sure if it was Adrienne herself or her organization. Okay, they seem to be making some allegations about either Adrienne's activities or the activities of the National Toxics Campaign, of which I considered fairly ridiculous allegations, and didn't pay any attention to them.",rocky flats;national toxics campaign;rocky flats alliance;encirclement,0:02:47
Mike O'Keeffe,What are those allegations?,,0:10:49
Phil Hufford,"Oh, well, they had claimed that some of their materials had been pirated away. Now these were materials that they had given to Adrienne Anderson and to the National Toxics Campaign, but then they maintained that these materials had been used with National Toxics Campaign letterhead for some without citing them, or whatever, and I felt that was a fairly ridiculous charge, because I know Adrienne, and I know a little about the National Toxins Campaign, and they don't need to resort to that kind of thing, and they're not inclined to do that either. And I told them at the time that I thought those were fairly ridiculous allegations, and that you know, where was the evidence? I'd love to see proof, or what, what was a grant that was used? And no evidence was ever produced, or no proof was ever offered, but I think that was part of it as well. And then there, I don't know. There just seemed to be a rift develop, and...",national toxics campaign,0:10:50
Mike O'Keeffe,"What do you think the real reasons are?",,0:12:08
Phil Hufford,"Well, I think Paula and Sue have kind of a sense that Rocky Flats is their issue, they they, they seem to feel they, they own it. I mean, they're willing to cooperate with some people, but with other people they're not. I think they felt left out of this Lisa Crawford business. What happened with Lisa Crawford was that the National Toxics Campaign, Colorado Peace Network, and the American Friends Service Committee paid Lisa Crawford's expenses to get her out here, and so they sponsored this meeting, and I think Paula and Sue felt that they had been frozen out because they weren't included as part of the sponsorship, and you know, beyond that, I'm not, I'm not really sure. All I know is that something very immediate, very abrupt seemed to happen, and I, I'm really not sure why. I know that there was an attempt made. Actually, there were several attempts made by Adrienne to talk with them. Tom Row of the American Friends Service Committee offered his good offices to act as a mediator, and Paula and Sue refused to meet with Adrienne with Tom Row there as a mediator, they have become rather intransigent when it comes to Adrienne Anderson, and in fact they had their name removed from our news release, if you'll notice, because it had Adrienne Anderson's name on it, and... ",rocky flats; national toxics campaign,0:12:09
Mike O'Keeffe,"What's real funny is that the, you know, the flyer that they were hanging up all over town.",,0:14:02
Phil Hufford,Yes.,,0:14:07
Mike O'Keeffe,For their state capital event? There was some artwork on that that was done by Adrienne.,,0:14:07
Phil Hufford,"Yeah, yeah, Adrienne saw that. I took, I showed Adrienne a copy of that, and she went ""that's my graphic,"" you know, and here they were using her graphic, and they... You know, they made it clear that they, they didn't want to have anything to do with Adrienne, and I, I kept trying to mediate as best I could, and it just became clear that they, they were in no mood to try and get to the root of this, they were not interested in, in, you know, trying to get any facts from Adrienne, it was just a lot of accusations, and the fact that they, they kept bringing up this one incident that I know was false, and that's this business about holding a news conference to sabotage this other, you know, never scheduled news conference, but that weeks later they were still bringing this up...",,0:14:13
Mike O'Keeffe,"Philip, beyond the personal griping and the ego's clash, are there philosophical differences within not only between Paula and seemingly everybody else, but... Are the Greens a member of the Rocky Flats Alliance?",rocky flats alliance,0:15:23
Phil Hufford,"No, we're not. ",rocky flats alliance,0:15:41
Mike O'Keeffe,"So you haven't really been involved in any of their meetings, but just in general...",rocky flats alliance,0:15:43
Phil Hufford,"Well, I was at one of their meetings. I was invited to one of their meetings where I had a conversation with Steve Perry over the encirclement, and so that was the meeting where I heard about this Lisa Crawford little get together, that's where the invitation was issued. There, so, and I mean, I have been in touch with members of the Alliance, Joe Temple, Laura Lefkowitz, Tom Row... ",rocky flats alliance;encirclement,0:15:48
Mike O'Keeffe,"Do you feel that are there philosophical differences that might be hampering people's ability to work together?",rocky flats alliance,0:16:17
Phil Hufford,Well...,rocky flats alliance,0:16:26
Mike O'Keeffe,"Tom Bernard says, for example, that one of the issues that's been hotly debated is the idea over a worker super fund. He would like to see any questions about the workers resolved before people start calling for closing the plant. A lot of people feel differently. I mean, Steve Perry says, you know, screw the workers, my problem. Tom Row is a little bit more conciliatory, but he says, you know, and Laura Lefkowitz, a little bit more conciliatory, but they say, you know, it's an area we need to work around, we don't want to screw the workers, they're not the enemy here, but at the same time our ultimate goal is to close the plant. Yes, has that been a divisive or a hampering... are there any other philosophical issues?",rocky flats alliance,0:16:26
Phil Hufford,"Yes, the I'd say even a more primary division has been between some, and here again, this is somewhat limited to a small segment of the people who would identify themselves as environmentalists versus anti nuclear groups, and...",,0:17:24
Mike O'Keeffe,"By that, do you mean peace groups?",,0:17:56
Phil Hufford,"Well, I like Colorado Freeze Voter, is an anti nuclear group, all right...",,0:17:57
Mike O'Keeffe,Anti nuclear weapons?,,0:18:04
Phil Hufford,"Anti nuclear weapons, that's right, and they, they, you know, they want an end to the production of nuclear weapons. Now, Paula and Sue really don't seem to care one way or the other about that, now that I'm not sure that that's correct, and you ought to double check that, but Paula...",,0:18:05
Mike O'Keeffe,"They're certainly not pro nuclear weapon, but they just feel that the focus should be on the health and environmental.",,0:18:26
Phil Hufford,"Yes. Well, Paula has publicly, in at least two public forums that I'm aware of, once on KOA radio with on a Mike Rosen show, and a second time on City Desk, which is a public affairs program of United Cable, made a statement to the effect that she's not one of these crazy anti-nukers, and so there's a little, you know, little tension there, because what she is doing is sort of demeaning anti nuclear activists as crazies, and so that is a, you know, what they call a cleavage in the biz conflict resolution and conflict study biz, and then there's also this thing about the workers, and I know that Paula and Sue, and here again, you should double check this with them, but I mean I've heard them say that they feel that the workers are very well paid for what they're doing, and that they, they should know or learn once they get in there, you know what the dangers are. Now, my feeling, and this is just personally, I'm not speaking for the Denver Region Greens on this, but you know, as a, as a Green, as a member of the Denver Region Greens, I would say that I feel the workers should be taken into account very seriously, because in my opinion they are victims as well, in terms of health effects. They have been victimized as well as people living outside the plant who have been exposed to contamination, and I have some friends who work at Rocky Flats, and you know I'm very concerned about their health, then I know the type of information they have been getting over the years, and the health effects have been greatly, greatly minimized as far as their knowledge.",rocky flats,0:18:36
Mike O'Keeffe,They were telling workers it's the safest place you can work in Colorado.,rocky flats,0:20:41
Phil Hufford,"Yes, and I, you know, I...",rocky flats,0:20:45
Mike O'Keeffe,"In terms of, you know, what we would normally consider industrial accidents, you know, there's no big boxes falling off of high shelves, right? So...
",rocky flats,0:20:47
Phil Hufford,"Right, so it's safe. And I even heard the I happen to belong to the Jefferson Unitarian Church, and I'm the fact I'm the chair of the Social Responsibility Committee at the Jefferson Unitarian Church, and several of our church members work at Rocky Flats, and one of them has every year for I don't know how long, at least for the past couple of years, had somebody from Rocky Flats come and speak at the church, and I've attended those meetings, and year before last night, or last year, I should say, 1988 I had Nancy Goodnow, or I'm not sure what her name is, but she's sort of in charge of environmental affairs for Rocky Flats, and the conclusion at the end of the talk was that radiation is not hazardous to your health, and statements like that, and here we're getting people in senior positions at Rocky Flats making statements like that, and of course people who work there are not going to feel that they have much to worry about, and I've heard people that work there maintain that the plutonium in Standley Lake and the Great Western Reservoir are due to fallout from the atomic testing period, and not Rocky Flats, and other really unsupportable statements, but it's kind of like the blinders are on out there. There's a severe denial, really. I would, I would characterize this denial going on.",rocky flats;standley lake;great western reservoir,0:20:57
Mike O'Keeffe,"Philip, the issues that you've been talking about that have posed problems for the movement as a whole, are there other people involved, besides Paula and Sue? You mentioned them as saying they don't care about the workers.",,0:22:45
Phil Hufford,"Well, yeah, and there again, that might be too harsh. I think they feel the workers are being over stressed as a concern, not that I don't, I don't think they are callous towards the workers. They just feel that the workers are being well paid for what they're being subjected to, and that all this concern about the workers is overemphasized.",,0:23:02
Mike O'Keeffe,"No one has brought up, I think, a very good point. They say that, you know, you can talk about concern about the workers, but these are people who have ultimately made an immoral decision. What about the homeowners and the community around there that's also been negatively affected? And no. one has come up with a Superfund concept for the homeowners.",,0:23:23
Phil Hufford,"Well, I have. I mean, I've spoken with some of the union people who are behind the Superfund idea. They were at this little gathering the evening welcoming meeting for Lisa Crawford, and when they were talking about the Superfund for workers, I said, ""well, that sounds great, but that should be part of a Superfund for victims, and that all victims of contamination should be somehow compensated for their losses, be they property values or health effects in that workers should be considered as victims in this, and it shouldn't be targeted specifically at workers."" But there's another thing about this, when you, when you decommission or go into an economic conversion of a plant like Rocky Flats, if you were to suddenly phase out 2,500, 3,000 or 5,000 jobs that would have a devastating effect on local economy and that is an important factor that needs to be addressed. There, there should not be a precipitous cut off of funds in terms of wages, and there are all these other issues surrounding the cleanup of that plant, the decontamination of the soil, and all of that as well. Some people can be shifted to those jobs, but just the economic impact on the local community should be taken into account, and that is where the idea of a super fund for victims and factoring the workers in as victims I think is an excellent idea, and Denver certainly has gotten its share of contamination relative to other cities. I mean, there's no other place in the world that I'm aware of now. There might be some in the Soviet Union squirreled away somewhere, but at least in the Western world that I'm aware of, there is no domestic water supply contaminated with plutonium, except here. Now, that is highly unusual, and the people of Broomfield were left to twist slowly in the wind when the tritium contamination took place in '73. The people of the Denver metropolitan area have suffered tremendous exposure and are still exposed to contamination unheard of anywhere else in the country, and perhaps in the world, and we deserve some kind of help, federal help, compensation, or whatever, and a super fund for victims and for workers is wholly justifiable just on those grounds, in my opinion.",rocky flats;superfund,0:23:46
Mike O'Keeffe,"Has this issue been divisive? I guess to ask the question again with other folks in the Rocky Flats community, is this something you could just say Paula and Sue are being pigheaded about?",rocky flats;superfund,0:26:46
Phil Hufford,"Well, I think they, they're yes. Basically, yes. I don't know anyone else that has achieved the level of just, just, you know, possessiveness and walking, storming out of meetings, making unfounded accusations about people. You know, it's really what's unfortunate very unfortunate, and I am very sad to see it happening. nd I think there are some other people who share some of their views on certain issues, and here you'd need to check this out, but you might want to talk with Kim Grice of Committee Against Radio Toxic Pollution, and see what he thinks about workers, see what he thinks about the anti nuclear movement. And you know, I must say, when I was talking with Steve Perry about the encirclement, we more or less reached an agreement to disagree with each other, but he made it very clear that he was not really concerned about environmental matters, that his job or his goal was a political goal, and that the health consequences, although something to be concerned about, in to some extent, was not his primary concern, and he's very straightforward about that, and there are several people who I think feel that that is, you know, a somewhat cavalier attitude about people being exposed to a very, you know, potentially hazardous, potentially life-threatening contamination, so there is a little tension there. And I imagine you've spoken with Steve Perry about this, or you should if you haven't.",rocky flats;encirclement,0:27:04
Mike O'Keeffe,"Yeah, I know, I'll be talking with Steve this evening.",rocky flats;encirclement,0:29:35
Phil Hufford,"Yeah, and you know, we just finally reached the, you know, the Denver Region Greens never advocated that nobody go to Rocky Flats. Our position is that if people know what they're getting into, if they know that they're being exposed to contamination, and they take adequate precautions, then fine. Go ahead and...",rocky flats;encirclement,0:29:37
Mike O'Keeffe,"How do you feel about the use of the encirclement as a tactic, the timing, the effectiveness of it, aside from the health and safety issues that contamination poses. I understand there were a lot of people who felt Steve was really wasting his time and energy on this.",rocky flats;encirclement,0:30:03
Phil Hufford,"Well, he...",rocky flats;encirclement,0:30:25
Mike O'Keeffe,"You know, that it wasn't an effective way to go...",rocky flats;encirclement,0:30:26
Phil Hufford,"Yeah, he, in my opinion, he did dig his heels in and became very stubborn, obstinate about it. You know, members, certain members of his own staff were encouraging him to change the venue of the event, and he genuinely feels that doing it at the plant site was of tremendous symbolic importance, and I disagree with him about that, but as I said, we have agreed to disagree. The timing of it, I can't fault that. I mean, Nagasaki or Hiroshima day are really very good...",rocky flats;encirclement,0:30:29
Mike O'Keeffe,"Well not the specific days, but just whether or not this was an appropriate action.",rocky flats;encirclement,0:31:20
Phil Hufford,Well...,rocky flats;encirclement,0:31:25
Mike O'Keeffe,"In the summer in 1989 Tom Rowe would say, has told me he thought it was a bad idea, because I mean it's an immense project to put together, you know, and Steve was was with the 1983 encirclement, he knew the tales that had to be worked down, the extent of yes, the job that laid before them.",rocky flats;encirclement,0:31:25
Phil Hufford,"Well, I think if he had gone about it differently, if Steve Perry had gone about it differently, he might have had better results. Steve was obstinate, you know, he was intransigent as well, and many different groups pleaded with him. I pleaded with him to change the location of that rally, and I know other groups and individuals did the same thing, and it just fell on deaf ears, and...",rocky flats;encirclement,0:31:52
