speaker,words,tags,timestamp
Phil Hufford,"Under this, their agenda, you have people who are primarily environmentally focused, and they see the anti nuclear question either as a separate question entirely or as subsumed under their banner, and then you have the people who are fighting over turf in various ways, and a lot of this, I think, comes from people being subjected to risk, you know, I don't think that it's necessarily an accident that Paula and Sue are as adamant as they are. They live not far from Rocky Flats, and they are... Right, and her daughter that died, and all of that, and so they are victims, and a lot of the people involved are victims, and people who are victims like that in a very concrete way, and this you can see around other sites in the country, as well as in the Denver metropolitan area, where people have been exposed to toxic substances, have suffered ill health effects and been subjected to just the whole stress syndrome that comes from being a victim of toxic contamination, and here I include plutonium, as well as tritium, and cesium, strontium, and americium, they, they can become very... I don't know, sort of, what's the word I want to use here... They, they become very adamant, and they'll go off on tangents that somebody that's not a victim wouldn't, and so I, I feel that first of all, Paula and Sue are probably in that category of people who have been victimized and are aware of it. They're very intelligent women, and they have done a tremendous service to people working on the Rocky Flats issue, because they have done top quality research work, you know, they have, they have really made a substantial contribution to our knowledge about the dangers of that plant, and they should be recognized for their contributions, and I think part of the problem is they feel they have not been recognized for their contributions, they've been working and working and working, and then they, they feel other people have taken their work and not given them adequate credit, and that could well be the case. I really haven't been involved recently that long. I was involved in the Rocky Flats, the anti-Rocky Flats movement in the mid 70s. I was involved with the Rocky Flats Action Group back then, and so I'm no newcomer to this, but I was gone for a while, and I've only recently gotten back into the fray, let's say, terms of being really active in taking any kind of leadership.",rocky flats;movement politics,0:00:03
Mike O'Keeffe,I wasn't on in Colorado at the time when most of that was going on. I came here in '78 but it seemed from my reading and from my talking with people that the movement seemed to be a lot tighter then.,movement politics,0:03:30
Phil Hufford,"Well, yeah, it was a smaller, smaller band, you know, although in 1978 then you were here for that rally when Jackson Brown and Bonnie Raid and all that, that was, you know, that was probably the, that is the second largest rally ever held out there, the largest being the attempted encirclement in '83. But you know, prior to that time it was mostly people focused on Rocky Flats, and there was the anti, I mean, all of these different groups were under the environmentalists and the anti-nuclear people, and all of that, but there had not been the freeze movement. Things were not as, as what's the word... There weren't so many different groups, things were not as diversified then as they are now. I mean, now you have Colorado Freeze Voter that grew out of the freeze movement, and you have all these auxiliary groups. I mean, there are 16 groups that belong to the Rocky Flats Alliance. There just weren't that many groups back then, and you have people who have taken these fairly contradictory positions, and a lot of it is also because we've learned more since the 70s about the, if we've learned more since the early 80s about the dangers of plutonium, and all, so all of those factors together have led to a polarization among some of these different groups, where before there weren't so many different groups, and any conflicts that arose were easily papered over, or whatever, everybody was united on trying to get Rocky Flats closed, and the thing is, it's still happening. People are still united in that goal.",rocky flats;movement politics;encirclement,0:03:49
Mike O'Keeffe,Is it a growing pain?,movement politics,0:05:46
Phil Hufford,"A growing pain? Well, I see it as part of a...",movement politics,0:05:48
Mike O'Keeffe,"You know, that has plagued the movement?",movement politics,0:05:53
Phil Hufford,"Yes, I think so, but I don't, I don't want to give the impression that I see this as all coming together in some magical resolution. See, I see what's going on here as indicative of a process where the national and the state power structures and the local power structures are trying to keep the groups in a state of ferment. It's in the interest of the national and local and state power structure to promote division within the movement.",movement politics,0:05:55
Mike O'Keeffe,"How effective can they do that? I mean... ",movement politics,0:06:40
Phil Hufford,"Well, I think...",movement politics,0:06:43
Mike O'Keeffe,"No one from the Sierra Club is going to take anything that the Department of Energy says seriously about...",movement politics,0:06:44
Phil Hufford,"Well, but it's a lot more subtle. It's a lot more subtle than just over pressure from the DOE. Okay?",,0:06:52
Mike O'Keeffe,One thing we haven't talked about that I've talked about with other people that seems to be very divisive...,,0:06:59
Phil Hufford,Yes.,,0:07:05
Mike O'Keeffe,"Is the money that the Rocky Flats... well, I don't think... no, it's not the Rocky Flats Alliance, but the TAG money...",rocky flats,0:07:06
Phil Hufford,"Yeah, yeah, that's the Rocky Flats Cleanup Committee, or whatever. Yeah. ",rocky flats,0:07:14
Mike O'Keeffe,"Do you think that taking money from the federal government in that kind of role is wise?",,0:07:18
