speaker,words,tags,timestamp
Adrienne Anderson,"...renewing the Superfund bill, and we ran across this cluster of people who were just self-reporting the deaths of children in the neighborhood and cancers, and that their own child had a birth defect, and gee, they wondered if something wasn't wrong, and so we began to organize that neighborhood, and this was in the summer of '84. And the state at the time claimed that they had no knowledge of any possible problem, it was a two and a half times elevated childhood cancer rate compared to national norms, and we saw the progression where the state initially at the point when there was no identified source of the problem, it was just a cancer cluster, and we were investigating, looking at, gee, is this radon gas, could it be, you know, any number of possible things, before we knew what the source of the problem was, the state admitted that there was a high childhood cancer rate in the area, but they couldn't from their preliminary work link it to any environmental hazards, and they just... case closed. When we got involved, we found it interesting that they had not tested the drinking water for the community, but they had tested the groundwater in the area, and they had tested the radiation levels around, and without having tested the drinking water, they said there's no problem here, and so four months of organizing, and in the midst of that, Martin Marietta began to counter organize the neighborhood, and we thought that was interesting. So perhaps it was drinking water, and perhaps it was Martin, but we didn't know all of the mechanisms that had come together to make that make that a reality. But what's of major interest politically is that state health department was very overt in trying to shut this thing up, as was the EPA, and the EPA at the time was trying to prevent the citizens from doing their own health survey, and then when it was clear they were going to do their own health survey, the EPA played the role to make, to convince the leadership of the community group that it would, should, should be the weakest possible survey, very brief, not very in-depth. I was trying to encourage them to do a more elaborate health survey, so it would really provide more information, and so the EPA was trying to prevent, you know, kind of a full exploration of the situation. The EPA was also claiming they didn't know what was the problem.",superfund;martin marietta;friendly hills,0:00:34
Juc Speaker,How did the EPA do that?,,0:02:44
Adrienne Anderson,"Well, their public relations department spent a lot of time... No, CC Forjay was her name, she's no longer around, from what I can tell. But they had a pretty elaborate PR effort, you know, again, this is under the Reagan administration, to rather than serve as a public relations arm to the community, they were actually playing the role of dividing the community leaders from one another and preventing them from doing the fullest level of investigation with their own resources, and I thought that was interesting. And the state health department was refusing to conduct a door-to-door study, and worse than that, they were actually, what's the word I want to use, not threatening people, but they were being very abusive about... in their denials of and acceptance of the information. Like when we went in to meet with the State Health Department, we said ""we've gathered all this data from our door-to-door canvas, and we'd like to present it to you, because we feel that you'll find this of interest, and will want to do a more elaborate investigative study of the area,"" and they would refuse to take the data of the deaths and illnesses that we had documented in the community, claiming it was unscientific, and they didn't want to look at it. We said, ""well, of course, it's unscientific, but on the other hand, these are people's individual reports of their own family's deaths and illnesses, and you know, shouldn't you want to corroborate these and do an independent search of the records?"" And they didn't, they would not even take the data, and we thought that was odd, and there were a number of odd things that happened. We started searching the records for the water distribution to the community from the Willowbrook Water and Sanitation District, which was the subcontractor for the community from the Denver Water Board. And after the community, people began to search the records. Three days later, the place was torched, went up in flames, and with it all the records, and was regarded by the Bancroft Fire Department to be a fire of suspected arson, but it was never investigated. And so we began to see a lot of cases of now you see it, now you don't. As we began to get on to the fact that Martin Marietta could have been responsible, the state changed its position from saying, ""Yes, you have an elevated childhood cancer rate, but we don't know what we don't see there being an environmental cause."" Two months down the road, the state changed its position to, ""Well, yes, there is an elevated childhood cancer rate, we don't see there being any cause for it, but we don't have the funds to study it."" Then, when we really got more into the evidence that Martin was likely the cause for it, then the state changed its position to say ""there is no cancer cluster."" So, I mean, they completely eliminated it, although the data was the same at every point, and we thought that was odd. So...",martin marietta;friendly hills;collusion; cover up,
Juc Speaker,[unintelligible],,0:05:41
Adrienne Anderson,"...drinking water, so the actually we had 60 minutes out filming one of these meetings in October of 1984 and at that meeting we said, ""Why haven't you investigated Mark Marietta yet? We find that they're on the EPA list as a possible pollution source, and you're required under the law to investigate them, and you haven't done that. Why? You know, why haven't you investigated Martin?"" And the EPA guy stood up and started screaming that there was no problem at Martin Marietta, and the state also, and the county health department as well, said ""there's no problems at Martin, it's too far away, it couldn't possibly be a problem here."" And so then we began to investigate the state records and the EPA records of what they actually had on Martin Marietta, and we're shocked to find that Martin is like allowed to dump into Brush Creek, which we found in subsequent investigations pours right into the municipal water supply immediately downhill from the, you know, 5,200 acre aerospace facility. And so, like, with what you're reading about the FBI investigation of the Rocky Flats situation, it's very interesting that now they're saying, as part of the DOE agreement, that they're reclassifying Walnut Creek and Woman Creek, which flow off of the, which are contaminated at some points by Rocky Flats, and then miles away become drinking water for the suburban communities in the Northwest.",martin marietta;rocky flats,0:05:42
Adrienne Anderson,"Well, there's really no treatment in any community in the Denver metropolitan area of any for chemical contamination, and at Kassler, which is one of the five sources for the Denver Water Board. We found evidence in the Denver Water Board's own records that pollution was coming down the hill virtually every day, and that they had created a form to track it called the Brush Creek Pollution Sheet, and and it was in files labeled Martin Marietta Pollution, and at the water board, the process for testing the water was five times a day to go down to Brush Creek and smell it and enter the odor, and the inner entries were chemical, chemical, chemical, chemical, chemical, chemical, chemical, for from 63 yeah, 63 you know, up through the 70s and into the 80s, that was the technology for testing the water, and they were delivering it, and so we found this quite shocking. We couldn't quite understand why it would be that the city's water utility would actually support in the poisoning of its own water supplies. It seems unnatural, right? I mean, you would think that the city water agency would stand up and say, ""oh my god, our city, you know, our water's being poisoned, we're suing Martin, we have to shut down this facility,"" and what we found is a pretty elaborate scheme of corruption and collusion between Martin and the Denver Water Board, including exchanges of personnel, and also the similar type of situation between the state and the water board, where you know, which is a pattern that we're seeing as of the present time, where the policymakers in the state health department have actually had direct conflicts of interest with Martin Marietta. The most recent example is the current, well, just just until recently, the head of the water quality control division, which is a branch of the state health department responsible for determining water pollution standards and also for determining permit standards in which companies can get a permit to dump legally into water supplies. We asked for this permit to be revoked from Martin at the point that we discovered that all the parties had evidence it was going straight into a drinking water well, and the state declined to revoke the permit, even given the evidence that we got out of their own files, and declined to revoke the permit, citing that there was, you know, really no evidence that Brush Creek was going into the well, even though we had Denver Water Board documents confirming that it did And worse, the Water Quality Control Division also allowed Martin to escape penalty for violating standards on one of its parameters for the pollutants that it was dumping into Brush Creek and actually waived the state standard because Martin had sent them a letter saying they couldn't afford to treat the water.",martin marietta,0:07:10
Adrienne Anderson,"This is like, this this year, so the... That they, that it was going to be expensive for them to do the technologies at the plant that would treat, that would allow them to have the water leave the plant meeting state standards, and so the state water quality control commission just two months ago waived the standard and said ""Okay, you can dump at higher levels."" Now this is after five years of this whole scandal that we have been publicizing. There are now 16 children that have died in Friendly Hills, and additional other cancers that have occurred. They are literally peppered up and down the street in Friendly Hills, and the Denver Water Board claims that they have sent that water all over the city of Denver. So we believe it's a much bigger scandal than the Friendly Hills situation, and we do see patterns of elevated cancer rates for children in other southwestern metro suburbs, the rates of cancer for children are actually higher than they are in northern Jefferson County, with... that, we would be concerned about with the Rocky Flats effects.",martin marietta;friendly hills;rocky flats,0:10:07
Juc Speaker,"You're saying, in addition to Friendly Hills downstream from Friendly Hills, there are similar effects, maybe not as strong.",friendly hills;martin marietta,0:11:11
Adrienne Anderson,"Well, the water from Kassler was pumped, so it isn't proximity to Martin, except in a general way. Friendly Hills is actually six miles north of Martin, but they pumped it all the way up past the Martin facility and past the Johns Manville area, and then into a community called Chatfield, and then in other suburban areas southwest. They're all in unincorporated Jefferson County. We know they were getting undiluted Kassler water, but they, there are other communities that could have had water diluted from other sources, like Marston or Foothills, that could have gotten diluted quantities of it that we suspect will lead to increased cancer rates overall with a latency period that you would expect from cancer, but the phenomenon in the communities that got the direct water undiluted that we have documented is childhood cancers that have occurred very early after conception, children one years old with brain tumor, that type of, that type of thing, where the cancers doctors have said they believe formed in utero, that the carcinogens were so strong that the effects were in utero for those fetuses, and also a series of birth defects that cluster up and down the street, that if you were pregnant during, you know, a big tidal wave of contamination coming down, we've correlated the worst waves of contamination, and they do seem to associate with patterns of birth defects of the women who gave birth, you know, conceived during those periods, and then gave birth subsequently to children with heart defects and other defects.",friendly hills;martin marietta,0:11:19
Juc Speaker,What kind of chemicals are seen?,,0:12:49
